Sl. No.,State/UT,Nitrogen (N) - VL,Nitrogen (N) - L,Nitrogen (N) - M,Nitrogen (N) - H,Nitrogen (N) - VH,Phosphorous (P) - VL,Phosphorous (P) - L,Phosphorous (P) - M,Phosphorous (P) - H,Phosphorous (P) - VH,Potassium (K) - VL,Potassium (K) - L,Potassium (K) - M,Potassium (K) - H,Potassium (K) - VH,Organic Carbon (OC) - VL,Organic Carbon (OC) - L,Organic Carbon (OC) - M,Organic Carbon (OC) - H,Organic Carbon (OC) - VH,Total No. of Samples,Boron(B) - Sufficient,Boron(B) - Deficient,Copper(Cu) - Sufficient,Copper(Cu) - Deficient,Iron(fe) - Sufficient,Iron(fe) - Deficient,Manganese(Mn) - Sufficient,Manganese(Mn) - Deficient,Sulphur(S) - Sufficient,Sulphur(S) - Deficient,Zinc(Zn) - Sufficient,Zinc(Zn) - Deficient,Total No. of Samples
1,Andhra and Nicobar Islands,620,2180,18,2,3,2420,353,44,1,5,2113,616,90,3,1,1126,1405,164,3,130,4093,2693,126,2352,464,2809,9,2800,17,10,2811,2400,421,4093
2,Andhra Pradesh,354615,771494,314541,18580,6045,0,163367,427045,875013,0,0,200125,484447,780669,0,222906,570933,324526,181851,165119,1465146,1211017,252173,1390633,69026,1047134,415461,1309394,142199,1309483,155500,942483,521676,1465146
3,Arunachal Pradesh,16,4,202,12651,97,5478,6168,1244,62,20,4933,3806,3744,440,49,15,11,126,115,12705,21883,4,18,11214,1753,12837,135,10115,2797,8073,4899,7492,5477,21883
4,Assam,6037,106032,61716,86436,333,136087,93560,28985,4226,2442,115309,89028,51424,9206,313,12497,92016,56575,26594,77655,278719,11230,250829,261780,2313,262957,2123,249456,13844,254672,6854,243287,21759,278719
5,Bihar,2699,131996,93019,179,193,9904,23885,169718,18642,6051,9420,25198,178251,12127,3205,4477,55696,136298,28423,3302,474486,3183,224990,125569,102634,122232,105959,120793,107269,18112,210063,111523,116685,474486
6,Chhattisgarh,82453,641734,219849,9998,3243,75385,249406,483417,90442,58140,26069,93322,517965,296929,22581,104427,377043,284758,105714,84901,949751,627926,263496,904800,34468,843977,98094,907308,31518,617568,338961,533824,408811,949751
7,Delhi,24,278,786,2,0,582,387,110,5,5,17,153,393,442,84,24,165,597,278,26,1090,931,157,1079,9,1016,73,956,132,843,245,1079,10,1090
8,Goa,1099,4241,7848,1463,1440,8487,2074,3354,1162,1012,1328,3618,6360,3343,1411,713,1920,1485,2298,9674,19307,2742,3360,5895,113,5988,21,5916,78,617,1709,5027,981,19307
9,Gujarat,147810,1004221,506177,22896,7932,37104,208492,1022385,345687,76549,27233,75921,866980,690366,29943,55260,572011,591691,259677,211546,1688836,845740,844101,1585484,104288,1266014,424177,1604945,82024,1320193,370136,1155150,535139,1688836
10,Haryana,274559,16017,452,7,326,745058,293406,176530,41455,31039,128786,263673,485113,293215,120280,156875,1005829,103416,1733,22604,1356297,377731,252998,1029442,37705,751007,540162,729473,548229,1142338,97815,904522,385225,1356297
11,Himachal Pradesh,1933,37898,44255,6492,213,2410,10293,65754,16768,8453,2601,7357,60888,28095,4673,983,10494,21753,20981,49452,107856,36528,1880,92912,2677,86069,9580,76241,18859,44923,7694,86386,9306,107856
12,Jammu and Kashmir,2770,17758,64034,8896,9889,28796,49730,58688,8116,2908,11843,33474,91207,10718,891,4193,21471,39511,30219,52824,148552,18243,6026,93887,24266,78267,36344,65390,51945,50285,32642,77016,41121,148552
13,Jharkhand,3861,27426,25337,760,252,12698,24972,13642,1938,4265,6643,13722,30963,5298,932,5375,14602,15807,13191,8666,71883,37819,12329,45809,3135,46184,4463,42578,6376,38934,15256,36460,14239,71883
14,Karnataka,201266,245426,226283,44705,66058,236685,359034,626356,231086,188949,138239,240247,627259,575724,60819,211669,585018,420540,208345,213119,1610837,721695,875177,1515779,123591,756063,884745,1355484,269903,1032317,609151,624101,1017286,1610837
15,Kerala,735,31,11,0,1,28502,20895,57916,10641,14103,13594,29685,56025,28903,3853,6202,19441,23292,19980,62648,133506,55391,50166,122004,4486,126034,3559,122519,6942,67905,36833,119785,9979,133506
16,Ladakh,7,14,178,16,0,157,1611,2740,192,114,36,176,2583,1748,258,23,108,230,729,3728,4805,281,342,4019,253,3623,1137,2803,1360,257,360,3416,1399,4805
17,Madhya Pradesh,110116,1312667,419260,10445,2328,293147,867457,624973,46524,34196,50158,139996,1118385,522155,34962,95674,575098,674963,317704,201981,1781446,1254195,484211,1725964,106377,1466198,383284,1665714,167203,1379019,440742,1064639,790553,1781446
